Test Number, Average Error, Result 1, Result 2, Result 3, Result 4, Result 5, Result 6, Result 7, Result 8, Result 9
0,0.0114691,0.729916,0.329096,0.862969,0.77137,0.817975,0.711302,0.739034,0.637198,0.747748
1,0.0164787,0.669953,0.22144,0.816905,0.729319,0.770471,0.651046,0.680553,0.610342,0.640275
2,0.0207757,0.560673,0.125004,0.724579,0.656818,0.6956,0.586336,0.573365,0.515757,0.435756
3,0.0244791,0.450215,0.0640207,0.604456,0.582394,0.610363,0.52626,0.463834,0.425914,0.20934
4,0.0276204,0.420344,0.0279877,0.513995,0.551504,0.53256,0.44877,0.432467,0.472167,0.0950188
5,0.0301332,0.446364,0.00504596,0.448632,0.551699,0.454894,0.349914,0.455878,0.587465,0.0662585
6,0.032059,0.476312,-0.00808112,0.379569,0.555415,0.369919,0.248216,0.483432,0.676988,0.0576355
7,0.0334613,0.491191,-0.0134495,0.296478,0.552008,0.279569,0.161037,0.496515,0.726498,0.0418108
8,0.0344236,0.495003,-0.0138384,0.209059,0.543649,0.193222,0.0947467,0.499017,0.752954,0.0215646
9,0.0350635,0.496421,-0.0118559,0.132997,0.535485,0.120563,0.0474046,0.49944,0.77115,0.00688485
10,0.0355013,0.50041,-0.00922431,0.0776056,0.530506,0.0662909,0.01468,0.502649,0.788081,0.00251768
11,0.0358257,0.506929,-0.00675926,0.0426897,0.528556,0.0298361,-0.00667365,0.508559,0.804633,0.00617053
12,0.0360877,0.513561,-0.00471256,0.0227803,0.527898,0.00777021,-0.0187333,0.514731,0.819383,0.0125156
13,0.0363105,0.518296,-0.00310293,0.0119783,0.52701,-0.00396992,-0.0234258,0.519128,0.831331,0.0173122
14,0.0365027,0.520544,-0.00189218,0.00619046,0.525296,-0.00894072,-0.0229753,0.521134,0.840537,0.0189746
15,0.0366676,0.520804,-0.00103715,0.00322301,0.522913,-0.00984932,-0.019659,0.521223,0.847683,0.0180125
16,0.0368076,0.519961,-0.000489663,0.00204856,0.520321,-0.0085907,-0.015367,0.520257,0.85354,0.0157644
17,0.0369255,0.518767,-0.000190111,0.00210291,0.517914,-0.00641136,-0.0113367,0.518972,0.858677,0.0134093
18,0.0370239,0.517628,-6.99123e-05,0.00291339,0.515886,-0.00408122,-0.00815165,0.517767,0.86339,0.011561
19,0.0371051,0.516654,-6.12124e-05,0.00402451,0.514243,-0.00203091,-0.00591713,0.516742,0.867778,0.0103192
20,0.0371709,0.515796,-0.000107302,0.00506381,0.512897,-0.000453049,-0.00448413,0.515847,0.871845,0.00951427
21,0.0372228,0.514979,-0.000168637,0.00580967,0.511753,0.000619819,-0.0036273,0.515002,0.875585,0.00893412
22,0.0372622,0.514164,-0.000223077,0.00619965,0.510749,0.00125097,-0.00314483,0.514167,0.879014,0.00844102
23,0.03729,0.513358,-0.000262,0.00628523,0.50986,0.00154718,-0.00289128,0.513346,0.882168,0.00798699
24,0.0373072,0.512589,-0.000284978,0.0061677,0.509081,0.00162064,-0.00277257,0.512567,0.88509,0.00757721
25,0.0373146,0.511883,-0.000295179,0.0059462,0.50841,0.00156632,-0.00272894,0.511854,0.88782,0.00722807
26,0.037313,0.511253,-0.00029644,0.00569116,0.507841,0.0014531,-0.00272068,0.511219,0.890385,0.00694347
27,0.0373029,0.510696,-0.000291959,0.00544046,0.50736,0.00132443,-0.00272057,0.510659,0.892803,0.00671134
28,0.0372851,0.5102,-0.000284022,0.00520808,0.506949,0.0012037,-0.00271118,0.510161,0.895086,0.00651163
29,0.0372599,0.509753,-0.000274196,0.00499562,0.506593,0.00110092,-0.00268381,0.509713,0.897244,0.00632577
30,0.037228,0.509344,-0.000263574,0.00480074,0.506278,0.00101826,-0.00263701,0.509303,0.899285,0.00614228
31,0.0371897,0.508965,-0.00025293,0.00462124,0.505996,0.000953958,-0.00257413,0.508925,0.901218,0.00595735
32,0.0371456,0.508613,-0.000242784,0.00445593,0.505741,0.000904653,-0.00250079,0.508573,0.903052,0.00577234
33,0.0370958,0.508286,-0.000233429,0.004304,0.50551,0.000866672,-0.00242264,0.508247,0.904796,0.00559068
34,0.0370409,0.507982,-0.000224965,0.00416436,0.505298,0.000836644,-0.00234413,0.507944,0.906456,0.00541543
35,0.0369811,0.5077,-0.000217349,0.00403545,0.505104,0.000811785,-0.0022681,0.507662,0.90804,0.00524839
36,0.0369168,0.507436,-0.000210462,0.00391545,0.504925,0.000790002,-0.00219597,0.507399,0.909553,0.00509003
37,0.0368481,0.507189,-0.000204158,0.00380266,0.504758,0.000769878,-0.00212816,0.507153,0.910999,0.00494003
38,0.0367754,0.506957,-0.000198309,0.00369574,0.504603,0.000750571,-0.0020646,0.506922,0.912384,0.00479776
39,0.0366989,0.506738,-0.000192816,0.00359382,0.504458,0.000731681,-0.00200497,0.506705,0.913712,0.00466263
40,0.0366189,0.506532,-0.000187612,0.00349641,0.504321,0.000713096,-0.00194888,0.5065,0.914985,0.00453419
41,0.0365354,0.506337,-0.000182656,0.00340329,0.504193,0.00069486,-0.001896,0.506306,0.916209,0.00441206
42,0.0364489,0.506153,-0.000177925,0.00331429,0.504071,0.000677078,-0.001846,0.506122,0.917385,0.00429591
